input,openai,bert,gemini,timestamp
An octopus is a sea...,"No, this text is most likely written by a Human. (AI Probability: 18.24%)...","No, this text is most...",**Unlikely** The text reads like...,2024-10-10 09:33:18
“The Greek Atomists reduced everything...,"Yes, this text is most likely written by AI. (AI Probability: 92.41%)...","No, this text is most...",Unlikely. The text exhibits a...,2024-10-10 09:52:17
A shocking incident unfolded at...,"Yes, this text is most likely written by AI. (AI Probability: 100.0%)...",Error: name 'time' is not...,Uncertain. The text reads smoothly...,2024-10-10 10:05:27
A shocking incident unfolded at...,"Yes, this text is most likely written by AI. (AI Probability: 99.98%)...","Yes, this text is most...",Uncertain. The text is well-written...,2024-10-10 10:06:41
A shocking incident unfolded at...,"Yes, this text is most likely written by AI. (AI Probability: 99.98%)...","Yes, this text is most...",Uncertain. The text reads like...,2024-10-10 10:08:19
A shocking incident unfolded at...,"Yes, this text is most likely written by AI. (AI Probability: 99.98%)...","Yes, this text is most...",Uncertain. While the text is...,2024-10-10 10:09:43
A shocking incident unfolded at...,"Yes, this text is most likely written by AI. (AI Probability: 99.98%)...","Yes, this text is most...",Unlikely. The text reads like...,2024-10-10 10:10:32
ChatGPT is an advanced AI...,"Yes, this text is most likely written by AI. (AI Probability: 100.0%)...","No, this text is most...",This text is likely AI-generated....,2024-10-10 10:10:48
A shocking incident unfolded at...,"Yes, this text is most likely written by AI. (AI Probability: 100.0%)...",Error communicating with Hugging Face...,Uncertain. The text reads like...,2024-10-10 13:42:07
Octopuses are highly intelligent marine...,"Yes, this text is most likely written by AI. (AI Probability: 100.0%)...","Yes, this text is most...",Unlikely. The text is written...,2024-10-10 13:42:21
